feature,label_zh,analysis_included,exclusion_reason
avg_price,平均商品价格,True,
avg_freight,平均运费,True,
avg_product_weight_g,平均商品重量,True,
avg_product_length_cm,平均商品长度,True,
avg_product_height_cm,平均商品高度,True,
avg_product_width_cm,平均商品宽度,True,
avg_product_photos_qty,平均商品图片数,True,
avg_product_name_length,平均商品标题长度,True,
avg_product_description_length,平均商品描述长度,True,
avg_payment_installments,平均支付分期期数,True,
avg_payment_sequential,平均支付序列数,True,
credit_card_ratio,信用卡支付占比,True,
boleto_ratio,Boleto支付占比,True,
voucher_ratio,代金券支付占比,True,
debit_card_ratio,借记卡支付占比,True,
avg_review_score,平均评价得分,True,
avg_delivery_days,平均下单至送达天数,True,
avg_approval_days,平均下单至审核天数,True,
avg_ship_days,平均审核至承运天数,True,
avg_estimate_gap_days,平均预计提前送达天数,True,
item_count,成交件数,True,
order_count,成交订单数,True,
category_count,活跃品类数,True,
unique_customer_count,独立顾客数,True,
buyer_state_diversity,买家州数量,True,
dominant_customer_state_share,第一大买家州占比,True,
interstate_ratio,跨州交易占比,True,
avg_distance_km,平均卖家-买家距离,True,
seller_state_frequency,卖家所在州频率,True,
marketing_origin_frequency,营销来源频率,True,
has_marketing_deal,是否匹配营销成交线索,True,
declared_revenue_log,申报月收入对数,False,The feature is constant at zero in the analysis panel.
