method,family,status,source,evidence,conclusion
Copula-MVR/e-value/e-BH,基础选择器,完整实测,Model-X 2018; MVR 2022; Derandomised knockoffs 2024,论文/v7,原生错误率规则有假设；真实生成失配，不授予FDR证书
Elastic Net,基础选择器,完整实测,Zou & Hastie 2005,论文/v7,强线性基线；非零集合不等于FDR发现
稳定性选择经验适配,基础选择器,完整实测,Meinshausen & Buhlmann 2010; Shah & Samworth 2013,论文/v7,内部Lasso频率阈值；不冒用原文PFER保证
Extra Trees影子变量树,基础选择器,完整实测,Geurts et al. 2006; Boruta 2010,论文/v7,完整实测但不是完整Boruta；高稳定性不等于最佳预测
XGBoost-SHAP,基础选择器,完整实测,XGBoost 2016; SHAP 2017; TreeSHAP 2020,论文/v7,强非线性排序基线，不是FDR检验
Deep Lasso,基础选择器,完整实测,NeurIPS Datasets and Benchmarks 2023,论文/v7,官方正则函数；网络与任务适配明确
TabM置换,基础选择器,完整实测,TabM ICLR 2025; PFI,论文/v7,官方网络加置换评分，不把附加评分说成TabM原生
VTFS定额适配,基础选择器,完整实测,"ACM TKDD 2024, 10.1145/3687485",论文/v7,官方编码器解码器；随机语料和固定K适配，参考名单来自回退
Ridge/Lasso预测器,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v1/code/run_analysis.py,早期预测基线，非全部统一选维实验
Extra Trees预测器,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v1/code/run_analysis.py,早期及周度预测基线
卖家固定效应分析,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v1/code/run_analysis.py,关联分析而非因果识别，不计作选维模型
深度Knockoff生成器,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v2,KS改善但联合交换性失败
配对竞争MLP,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v2,反对称检查通过但原生空集
残差表格MLP,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v2,旧面板预测不及XGBoost
确认集合内SHAP及K截断,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v3,预算展示，不继承原生FDR
卖家均值/卖家内离差分层Knockoff,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v4,均值层与组内层不同；不能混作新增面板定理
业务Group Knockoff,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v4,组假设不等于变量假设；放宽q不算算法收益
DDLK式最坏交换生成器,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v4,仅式实现；深度核和分类诊断失败
深度核MMD与经验边际校准,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v4,诊断/校准组件，不是成功选择器
GRIP2式二维正则轨迹,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v4,早期已有尝试；不是官方完整复现，q=.2无发现
周度Copula-MVR/分层/分组/GRIP2式,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v5,周度旧口径；不能与月末可见面板数字混排
高斯/Copula与MVR/SDP/等相关消融,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v6,生成与变换组件，不是多个原创模型
Lasso/XGBoost竞争与重复次数消融,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v6,不同竞争器、重复预算和阈值结果分开
同月互补卖家梯度一致性Deep Lasso,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v7/innovation_pilot,开发规则选择gamma=0，新增惩罚失败
变量删除/替代/共识审计,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v7/innovation_pilot,变量质量分析，不是已获支持的模型创新
概念分组Top-8,早期与局部探索,局部实测/旧口径,对应工程方法说明,论文/v7/innovation_pilot,曾使用全时期相关性；只作事后探索，不是独立验证
Deep Lasso-Jacobian,模型机制消融,完整实测,父方法原文与本地机制协议,论文/v7/model_improvements_20260912,稳定性局部改善；相对父方法的互补稳定性与发现质量未共同改善
Jacobian训练+原排名,模型机制消融,完整实测,父方法原文与本地机制协议,论文/v7/model_improvements_20260912,完整Top-12与父方法相同，预测不能另算增益
原Deep Lasso+Jacobian排名,模型机制消融,完整实测,父方法原文与本地机制协议,论文/v7/model_improvements_20260912,完整Top-12相同；局部发现改进不等于预测改进
TabM预算门,模型机制消融,完整实测,父方法原文与本地机制协议,论文/v7/model_improvements_20260912,参考Jaccard增加，互补J与模拟发现质量未改善
EntryPrune回归适配,模型机制消融,完整实测,父方法原文与本地机制协议,论文/v7/model_improvements_20260912,不是原论文所有分类实验复现；真实效果弱于强基线
EntryPrune刷新,模型机制消融,完整实测,父方法原文与本地机制协议,论文/v7/model_improvements_20260912,明显负结果
EntryPrune环境波动惩罚,模型机制消融,完整实测,父方法原文与本地机制协议,论文/v7/model_improvements_20260912,未恢复强基线水平，不把均值减标准差称置信界
VTFS固定K,模型机制消融,完整实测,父方法原文与本地机制协议,论文/v7/model_improvements_20260912,预算匹配修正，模拟改善但真实预测没有改善
VTFS固定K+成对效用损失,模型机制消融,完整实测,父方法原文与本地机制协议,论文/v7/model_improvements_20260912,独立增量小，不能把预算修正收益归给损失
等查询预算随机子集搜索,模型机制消融,完整实测,父方法原文与本地机制协议,论文/v7/model_improvements_20260912,检验深度解码是否真正优于搜索预算本身
XGBoost-普通替换损失,SCPL评分,完整实测,CPI; Model-X; 本地SCPL定义,论文/方法研究_20260913,普通替换不满足完整符号翻转；其余有代数性质。非线性模拟收益不代表真实FDR或优先权
XGBoost-中点对称损失,SCPL评分,完整实测,CPI; Model-X; 本地SCPL定义,论文/方法研究_20260913,普通替换不满足完整符号翻转；其余有代数性质。非线性模拟收益不代表真实FDR或优先权
XGBoost-随机对称损失,SCPL评分,完整实测,CPI; Model-X; 本地SCPL定义,论文/方法研究_20260913,普通替换不满足完整符号翻转；其余有代数性质。非线性模拟收益不代表真实FDR或优先权
XGBoost-标准化随机对称损失,SCPL评分,完整实测,CPI; Model-X; 本地SCPL定义,论文/方法研究_20260913,普通替换不满足完整符号翻转；其余有代数性质。非线性模拟收益不代表真实FDR或优先权
TabM-普通替换损失,SCPL评分,完整实测,CPI; Model-X; 本地SCPL定义,论文/方法研究_20260913,普通替换不满足完整符号翻转；其余有代数性质。非线性模拟收益不代表真实FDR或优先权
TabM-中点对称损失,SCPL评分,完整实测,CPI; Model-X; 本地SCPL定义,论文/方法研究_20260913,普通替换不满足完整符号翻转；其余有代数性质。非线性模拟收益不代表真实FDR或优先权
TabM-随机对称损失,SCPL评分,完整实测,CPI; Model-X; 本地SCPL定义,论文/方法研究_20260913,普通替换不满足完整符号翻转；其余有代数性质。非线性模拟收益不代表真实FDR或优先权
TabM-标准化随机对称损失,SCPL评分,完整实测,CPI; Model-X; 本地SCPL定义,论文/方法研究_20260913,普通替换不满足完整符号翻转；其余有代数性质。非线性模拟收益不代表真实FDR或优先权
评分集成对Lasso,SCPL对照,完整实测,标准方法/匹配信息对照,论文/方法研究_20260913,用于区分预测器、训练信息和评分机制
匹配训练样本线性对称评分,SCPL对照,完整实测,标准方法/匹配信息对照,论文/方法研究_20260913,用于区分预测器、训练信息和评分机制
XGBoost置换,SCPL对照,完整实测,标准方法/匹配信息对照,论文/方法研究_20260913,用于区分预测器、训练信息和评分机制
XGBoost-Semi-KO-Ridge均值,条件矩扩展,完整实测,ICML 2026 Semi-knockoffs及条件抽样扩展,论文/v7/supplement_20260913,纠正无解阈值返回值；估计条件矩不自动享有有限样本保证；不声称原创优先权
XGBoost-Semi-KO-非线性均值,条件矩扩展,完整实测,ICML 2026 Semi-knockoffs及条件抽样扩展,论文/v7/supplement_20260913,纠正无解阈值返回值；估计条件矩不自动享有有限样本保证；不声称原创优先权
XGBoost-Semi-KO-条件尺度,条件矩扩展,完整实测,ICML 2026 Semi-knockoffs及条件抽样扩展,论文/v7/supplement_20260913,纠正无解阈值返回值；估计条件矩不自动享有有限样本保证；不声称原创优先权
