case,queries,same_top12_as_corpus_fallback,validation_utility_gain_from_decoded_candidates,fallback_order
f70_00,114,True,0.0,"[0, 2, 4, 5, 7, 9, 14, 16, 18, 20, 21, 22, 27, 28, 29, 30, 1, 3, 6, 8, 10, 11, 12, 13, 15, 17, 19, 23, 24, 25, 26]"
f70_01,113,True,0.0,"[0, 2, 4, 5, 7, 9, 14, 16, 18, 20, 21, 22, 27, 28, 29, 30, 1, 3, 6, 8, 10, 11, 12, 13, 15, 17, 19, 23, 24, 25, 26]"
f70_02,116,True,0.0,"[0, 2, 4, 5, 7, 9, 14, 16, 18, 20, 21, 22, 27, 28, 29, 30, 1, 3, 6, 8, 10, 11, 12, 13, 15, 17, 19, 23, 24, 25, 26]"
f70_03,113,True,0.0,"[0, 2, 4, 5, 7, 9, 14, 16, 18, 20, 21, 22, 27, 28, 29, 30, 1, 3, 6, 8, 10, 11, 12, 13, 15, 17, 19, 23, 24, 25, 26]"
f70_04,115,True,0.0,"[0, 1, 10, 13, 18, 19, 23, 26, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 20, 21, 22, 24, 25, 27, 28, 29, 30]"
f70_05,112,True,0.0,"[0, 1, 10, 13, 18, 19, 23, 26, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 20, 21, 22, 24, 25, 27, 28, 29, 30]"
f70_06,115,False,0.0004550025326464646,"[0, 2, 4, 5, 7, 9, 14, 16, 18, 20, 21, 22, 27, 28, 29, 30, 1, 3, 6, 8, 10, 11, 12, 13, 15, 17, 19, 23, 24, 25, 26]"
f70_07,112,True,0.0,"[0, 2, 4, 5, 7, 9, 14, 16, 18, 20, 21, 22, 27, 28, 29, 30, 1, 3, 6, 8, 10, 11, 12, 13, 15, 17, 19, 23, 24, 25, 26]"
f70_08,115,True,0.0,"[0, 2, 4, 5, 7, 9, 14, 16, 18, 20, 21, 22, 27, 28, 29, 30, 1, 3, 6, 8, 10, 11, 12, 13, 15, 17, 19, 23, 24, 25, 26]"
f70_09,116,True,0.0,"[0, 2, 4, 5, 7, 9, 14, 16, 18, 20, 21, 22, 27, 28, 29, 30, 1, 3, 6, 8, 10, 11, 12, 13, 15, 17, 19, 23, 24, 25, 26]"
f70_10,111,False,0.11791219173714346,"[0, 2, 3, 4, 8, 9, 11, 12, 14, 16, 17, 18, 21, 22, 23, 25, 26, 27, 30, 1, 5, 6, 7, 10, 13, 15, 19, 20, 24, 28, 29]"
f70_11,115,True,0.0,"[0, 2, 4, 5, 7, 9, 14, 16, 18, 20, 21, 22, 27, 28, 29, 30, 1, 3, 6, 8, 10, 11, 12, 13, 15, 17, 19, 23, 24, 25, 26]"
