group,group_label_zh,feature,feature_label_zh
price_cost,价格成本,avg_price,平均商品价格
price_cost,价格成本,avg_freight,平均运费
physical_size,商品物理属性,avg_product_weight_g,平均商品重量
physical_size,商品物理属性,avg_product_length_cm,平均商品长度
physical_size,商品物理属性,avg_product_height_cm,平均商品高度
physical_size,商品物理属性,avg_product_width_cm,平均商品宽度
content,商品内容,avg_product_photos_qty,平均商品图片数
content,商品内容,avg_product_name_length,平均商品标题长度
content,商品内容,avg_product_description_length,平均商品描述长度
payment_process,支付过程,avg_payment_installments,平均支付分期期数
payment_process,支付过程,avg_payment_sequential,平均支付序列数
payment_method,支付方式,credit_card_ratio,信用卡支付占比
payment_method,支付方式,boleto_ratio,Boleto支付占比
payment_method,支付方式,voucher_ratio,代金券支付占比
payment_method,支付方式,debit_card_ratio,借记卡支付占比
reputation,口碑,avg_review_score,平均评价得分
fulfillment,履约,avg_delivery_days,平均下单至送达天数
fulfillment,履约,avg_approval_days,平均下单至审核天数
fulfillment,履约,avg_ship_days,平均审核至承运天数
fulfillment,履约,avg_estimate_gap_days,平均预计提前送达天数
transaction_scale,交易规模,item_count,成交件数
transaction_scale,交易规模,order_count,成交订单数
transaction_scale,交易规模,category_count,活跃品类数
transaction_scale,交易规模,unique_customer_count,独立顾客数
market_concentration,市场集中度,dominant_customer_state_share,第一大买家州占比
market_reach,市场覆盖,buyer_state_diversity,买家州数量
market_reach,市场覆盖,interstate_ratio,跨州交易占比
market_reach,市场覆盖,avg_distance_km,平均卖家-买家距离
seller_geography,卖家地域,seller_state_frequency,卖家所在州频率
marketing,营销,marketing_origin_frequency,营销来源频率
marketing,营销,has_marketing_deal,是否匹配营销成交线索
